Post_Date,Neighborhood,Price,Title,Url,Bedroom,sqft
2022-08-18 15:08:00,Capitol Hill,1795.0,SWANSONIA►2nd FLOOR FULL REMODEL! Hardwoods! W/D in unit!,https://seattle.craigslist.org/see/apa/d/seattle-swansonia2nd-floor-full-remodel/7523115800.html,1.0,500.0
2022-08-18 15:07:00,"Ravenna, Roosevelt, Green Lake, Bryant",2595.0,"SAXE►2BD/1BA Modern! Plank Floors! W/D, 3rd Floor, Cats/Dogs Ok!",https://seattle.craigslist.org/see/apa/d/seattle-saxe2bd-1ba-modern-plank-floors/7523115653.html,2.0,915.0
2022-08-18 15:06:00,"11301 3Rd Ave Ne , Seattle, Wa",2205.0,"Walking distance to Shopping, Restaurants, Light rail station & park",https://seattle.craigslist.org/see/apa/d/seattle-walking-distance-to-shopping/7523115283.html,1.0,674.0
2022-08-18 15:06:00,Seattle,2217.0,Beautiful Corner Studio High Ceiling with Walk in Closet,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-corner-studio-high/7523115108.html,,511.0
2022-08-18 15:06:00,Seattle,1939.0,Amazing 1bed 1bath home!! Pet friendly! and no smoking!,https://seattle.craigslist.org/see/apa/d/seattle-amazing-1bed-1bath-home-pet/7523115065.html,1.0,555.0
2022-08-18 15:06:00,Seattle,2636.0,"Townhouse units, On-site retail, Elevators",https://seattle.craigslist.org/see/apa/d/seattle-townhouse-units-on-site-retail/7523115068.html,1.0,
2022-08-18 15:06:00,Seattle - Denny Triangle,2705.0,There's no place like home at Kinects Tower!,https://seattle.craigslist.org/see/apa/d/seattle-theres-no-place-like-home-at/7523095608.html,1.0,658.0
2022-08-18 15:05:00,Seattle,2790.0,One Bedroom in the Heart of the Hill!,https://seattle.craigslist.org/see/apa/d/seattle-one-bedroom-in-the-heart-of-the/7523114775.html,1.0,735.0
2022-08-18 15:04:00,Capitol Hill,1395.0,ROOSEVELT APTS► TOP Floor STUDIO! Hardwoods! Cats ok!,https://seattle.craigslist.org/see/apa/d/seattle-roosevelt-apts-top-floor-studio/7523114192.html,,500.0
2022-08-18 15:03:00,Capitol Hill,1850.0,"ORIANA APTS►Hardwoods, vintage charm+updates, granite, PARKING!",https://seattle.craigslist.org/see/apa/d/seattle-oriana-aptshardwoods-vintage/7523113858.html,1.0,730.0
2022-08-18 15:01:00,Seattle,1475.0,Affordable Studio in lower Queen Anne,https://seattle.craigslist.org/see/apa/d/seattle-affordable-studio-in-lower/7523113029.html,1.0,525.0
2022-08-18 15:01:00,Green Lake,1250.0,Beautiful apartment with 12 month special,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-apartment-with-12/7523065086.html,1.0,463.0
2022-08-18 15:01:00,Seattle,2189.0,"Outdoor Pool & Spa, Outdoor BBQs & Firepits, Microwave",https://seattle.craigslist.org/see/apa/d/seattle-outdoor-pool-spa-outdoor-bbqs/7523112784.html,2.0,915.0
2022-08-18 15:00:00,Northgate Pinehurst North Seattle,1395.0,"NORTHGATE VIEW APTS► Top Floor 1BD, Deck, Parking Walk to Light Rail",https://seattle.craigslist.org/see/apa/d/seattle-northgate-view-apts-top-floor/7523112661.html,1.0,750.0
2022-08-18 14:58:00,Lower Queen Anne,1963.0,"Electric Car Charging Stations, Dog Spa, Contemporary cabinetry",https://seattle.craigslist.org/see/apa/d/seattle-electric-car-charging-stations/7523111897.html,,478.0
2022-08-18 14:58:00,"9Th Avenue Ne Shoreline, Wa",1040.0,Bright 3 bedroom rambler located in the desirable North City,https://seattle.craigslist.org/see/apa/d/seattle-bright-bedroom-rambler-located/7523107601.html,3.0,1010.0
2022-08-18 14:57:00,Seattle,1848.0,"Outdoor BBQs & Firepits, Separate Dining Room, Built-In Bookshelves",https://seattle.craigslist.org/see/apa/d/seattle-outdoor-bbqs-firepits-separate/7523111486.html,1.0,700.0
2022-08-18 14:56:00,Lower Queen Anne / Uptown,2150.0,"Amazing, Remodeled 2-Bedroom Corner Apartment!",https://seattle.craigslist.org/see/apa/d/seattle-amazing-remodeled-bedroom/7523111145.html,2.0,685.0
2022-08-18 14:56:00,Northgate,1862.0,Walk To NSC & The Northgate Link!,https://seattle.craigslist.org/see/apa/d/seattle-walk-to-nsc-the-northgate-link/7523110859.html,1.0,565.0
2022-08-18 14:55:00,Crown Hill / Ballard / Greenwood,1595.0,"IMPERIAL CROWN MANOR► Parking, Deck, Remodeled kitchen/bath",https://seattle.craigslist.org/see/apa/d/seattle-imperial-crown-manor-parking/7523109492.html,2.0,800.0
2022-08-18 14:54:00,Seattle,4194.0,"Recycling, Open-Concept, Yoga Studio",https://seattle.craigslist.org/see/apa/d/seattle-recycling-open-concept-yoga/7523110300.html,2.0,927.0
2022-08-18 14:54:00,Crown Hill / Ballard / Greenwood,1395.0,"IMPERIAL CROWN MANOR► 2bd Floor REMODELED Kitchen/Bath, Deck",https://seattle.craigslist.org/see/apa/d/seattle-imperial-crown-manor-2bd-floor/7523110280.html,1.0,540.0
2022-08-18 14:53:00,Seattle,1866.0,"Top Floor Units Feature 19-ft Ceilings, Outdoor Pool & Spa, Microwave",https://seattle.craigslist.org/see/apa/d/seattle-top-floor-units-feature-19-ft/7520646483.html,1.0,700.0
2022-08-18 14:53:00,Kent,1437.0,"Wood Look Flooring, Clubhouse, Dishwasher",https://seattle.craigslist.org/see/apa/d/seattle-wood-look-flooring-clubhouse/7519791378.html,,500.0
2022-08-18 14:52:00,Seattle,2695.0,#1101 - Bright & Sunny Studio With Beautiful Space Needle Views!,https://seattle.craigslist.org/see/apa/d/seattle-bright-sunny-studio-with/7523109491.html,,520.0
2022-08-18 14:52:00,Seattle,1350.0,"Corner Unit, Private Entrance & Walk-In Closet - 2 Weeks Free",https://seattle.craigslist.org/see/apa/d/seattle-corner-unit-private-entrance/7522237991.html,,440.0
2022-08-18 14:52:00,Seattle,1359.0,"On-Site Management, Microwave, Close to Restaurants",https://seattle.craigslist.org/see/apa/d/seattle-on-site-management-microwave/7520258739.html,,186.0
2022-08-18 14:52:00,Seattle,2689.0,Love where you live! Ideal Ravenna Location!,https://seattle.craigslist.org/see/apa/d/seattle-love-where-you-live-ideal/7523109407.html,1.0,
